"Date","Windows","OS X","Linux","Android","Unknown","Chrome OS","Other"
2013-01,90.96,7.95,0.88,0.12,0.07,0.01,0
2013-02,90.87,7.95,0.93,0.15,0.07,0.02,0.01
2013-03,91.16,7.7,0.95,0.08,0.08,0.02,0.01
2013-04,91.28,7.47,1.05,0.1,0.08,0.02,0
2013-05,90.84,7.61,1.28,0.15,0.09,0.02,0
2013-06,90.43,7.87,1.3,0.25,0.12,0.02,0.01
2013-07,90.49,7.81,1.23,0.35,0.08,0.03,0
2013-08,90.56,7.63,1.23,0.46,0.09,0.03,0
2013-09,90.89,7.41,1.02,0.54,0.1,0.04,0.01
2013-10,90.63,7.42,1.1,0.71,0.1,0.04,0
2013-11,90.34,7.45,1.15,0.9,0.11,0.05,0
2013-12,89.55,7.83,1.13,1.3,0.08,0.1,0.01
