Date,"Linux","Debian","Ubuntu","Red Hat Enterprise Linux","Windows 8"
2015-07,177824,39358,15301,30219,109232
2015-08,198402,45565,17051,29745,104500
2015-09,199377,46098,16528,30188,76269
2015-10,192600,68639,18385,31887,68079
2015-11,171947,44395,15979,29465,61610
2015-12,159716,56731,14626,27971,56108
2016-01,184796,60103,17488,32172,67812
2016-02,176917,47852,17297,33378,57549
2016-03,172635,49442,18417,34191,58935
2016-04,159727,43366,22423,31582,49242
2016-05,163162,43236,17056,32245,53012
2016-06,158739,41151,16949,32957,56295
2016-07,159676,41560,17169,29901,59027
2016-08,191180,44846,16543,32235,57463
2016-09,187001,47676,16330,32053,57640
2016-10,176085,43096,17065,31147,51834
2016-11,158302,39306,15508,30506,47829
2016-12,146949,38937,13510,26429,45053
